case,engine_sha256,input_sha256,status,functional_status,active_intervals,before_target,after_target,before_floor,after_floor,target_losses_from_breaks,floor_losses_from_breaks,avoidable_overage_fte_sum,gate4_target_benchmark,gate4_detail,gate5_break_regression,gate5_detail,gate8_independent_validation,gate8_detail,gate2_vs_rc9_1,gate9_vs_rc9_1
CHAT,9febb23f0cc75cbb,042a2d6217cf93e9,FALLBACK_TO_QUICK,PASS_FINAL_SCHEDULE_GENERATED,242,187,132,227,195,55,32,,PASS,"quality_benchmark=PASS, protected_benchmark=PASS",FAIL,target loss 55/242 = 22.7%; floor loss 32/242 = 13.2%; 2 language reserve quarters lost to breaks,PASS,0 hard failures on FINAL_AFTER_BREAKS,REQUIRES_RC9_1_BASELINE,REQUIRES_RC9_1_BASELINE
GDI,0b8bd6f505eb3b07,edd1f1ec098f7efb,SKELETON_ONLY_COMPLETE,,156,153,0,156,0,0,0,246.88,NOT_APPLICABLE,skeleton-only run; release benchmark not evaluated,NOT_APPLICABLE,skeleton-only run; break stage not executed,PASS,0 hard failures on BEST_BEFORE_BREAKS,REQUIRES_RC9_1_BASELINE,REQUIRES_RC9_1_BASELINE
GDI1W,0b8bd6f505eb3b07,edd1f1ec098f7efb,SKELETON_ONLY_COMPLETE,,156,145,0,156,0,0,0,265.6,NOT_APPLICABLE,skeleton-only run; release benchmark not evaluated,NOT_APPLICABLE,skeleton-only run; break stage not executed,PASS,0 hard failures on BEST_BEFORE_BREAKS,REQUIRES_RC9_1_BASELINE,REQUIRES_RC9_1_BASELINE
NMGEN,0b8bd6f505eb3b07,ed90d630ebae2ca8,SKELETON_ONLY_COMPLETE,,252,227,0,232,0,0,0,1150.07,NOT_APPLICABLE,skeleton-only run; release benchmark not evaluated,NOT_APPLICABLE,skeleton-only run; break stage not executed,PASS,0 hard failures on BEST_BEFORE_BREAKS,REQUIRES_RC9_1_BASELINE,REQUIRES_RC9_1_BASELINE
NMGEN2,9febb23f0cc75cbb,ed90d630ebae2ca8,SKELETON_ONLY_COMPLETE,,252,227,0,232,0,0,0,1153.05,NOT_APPLICABLE,skeleton-only run; release benchmark not evaluated,NOT_APPLICABLE,skeleton-only run; break stage not executed,PASS,0 hard failures on BEST_BEFORE_BREAKS,REQUIRES_RC9_1_BASELINE,REQUIRES_RC9_1_BASELINE
NMGSP,9febb23f0cc75cbb,33f540ffa1df748d,PASS_WITH_QUALITY_WARNINGS,PASS_FINAL_SCHEDULE_GENERATED,126,126,123,126,124,3,2,,PASS,"quality_benchmark=PASS, protected_benchmark=PASS",PASS,"target -3, floor -2 of 126 active; 0 exceptions (minimum proven)",PASS,0 hard failures on FINAL_AFTER_BREAKS,REQUIRES_RC9_1_BASELINE,REQUIRES_RC9_1_BASELINE
NMG_EN_AB,0b8bd6f505eb3b07,ac24a0fe2793c118,FAIL_PRE_SOLVER_CONTRACT,,,0,0,0,0,0,0,,NOT_APPLICABLE,benchmark not reported by this run,NO_EVIDENCE,run produced no active intervals; break stage never reached,NO_EVIDENCE,independent validation not run,REQUIRES_RC9_1_BASELINE,REQUIRES_RC9_1_BASELINE
S11H_OFF,9febb23f0cc75cbb,8ce4d9e013430404,SKELETON_ONLY_COMPLETE,,,247,0,252,0,0,0,553.27126595,NOT_APPLICABLE,skeleton-only run; release benchmark not evaluated,NOT_APPLICABLE,skeleton-only run; break stage not executed,NO_EVIDENCE,independent validation not run,REQUIRES_RC9_1_BASELINE,REQUIRES_RC9_1_BASELINE
S11H_ON,9febb23f0cc75cbb,c636d4c729b71a79,SKELETON_ONLY_COMPLETE,,,246,0,252,0,0,0,472.3463989,NOT_APPLICABLE,skeleton-only run; release benchmark not evaluated,NOT_APPLICABLE,skeleton-only run; break stage not executed,NO_EVIDENCE,independent validation not run,REQUIRES_RC9_1_BASELINE,REQUIRES_RC9_1_BASELINE
VOICE,9febb23f0cc75cbb,8e3833c9ef496b46,PASS_WITH_QUALITY_WARNINGS,PASS_FINAL_SCHEDULE_GENERATED,264,242,240,251,249,2,2,,PASS,"quality_benchmark=PASS, protected_benchmark=PASS",PASS,"target -2, floor -2 of 264 active; 0 exceptions (minimum proven)",PASS,0 hard failures on FINAL_AFTER_BREAKS,REQUIRES_RC9_1_BASELINE,REQUIRES_RC9_1_BASELINE
