id,name,category,interval_minutes,expected_outcome,rules_covered,migration_note,builder_kind,fresh_solve_required,evidence_class
T01,SAKS 30-min reference contract,reference,30,PASS,roster|30min|target90|breaks,known historical mapping,base30,Yes,MIGRATED_SYNTHETIC_INTEGRATION_FRESH_CP_SAT
T02,SAKS Copy 60-min reference contract,reference,60,PASS,roster|60min|target90|breaks,known historical mapping,base60,Yes,MIGRATED_SYNTHETIC_INTEGRATION_FRESH_CP_SAT
T03,GDI language-window reference,language,60,EXPECTED_INFEASIBLE,language|tight_capacity,Migrated language roster cannot cover both non-overlapping window edges; expected infeasible validates diagnostics.,language_tight,Yes,MIGRATED_SYNTHETIC_INTEGRATION_FRESH_CP_SAT
T04,NMG no-language reference,reference,30,PASS,30min|no_language,migrated synthetic equivalent,base30,Yes,MIGRATED_SYNTHETIC_INTEGRATION_FRESH_CP_SAT
T05,Overnight demand and shift,overnight,60,PASS,overnight|day_tail,migrated synthetic equivalent,overnight,Yes,MIGRATED_SYNTHETIC_INTEGRATION_FRESH_CP_SAT
T06,Cyclic Sunday previous-Saturday carryover,cyclic_boundary,60,PASS,cyclic_sunday|previous_saturday,migrated synthetic equivalent,cyclic,Yes,MIGRATED_SYNTHETIC_INTEGRATION_FRESH_CP_SAT
T07,Weekend-only operation,closed_day,60,PASS,closed_days|weekend_only,migrated synthetic equivalent,weekend_only,Yes,MIGRATED_SYNTHETIC_INTEGRATION_FRESH_CP_SAT
T08,Low-demand overstaff risk,overage,60,PASS,overage|low_demand,known historical mapping,low_demand,Yes,MIGRATED_SYNTHETIC_INTEGRATION_FRESH_CP_SAT
T09,Capacity infeasible 60-min,capacity,60,EXPECTED_INFEASIBLE,capacity|hard_floor,known historical mapping,capacity_infeasible,Yes,MIGRATED_SYNTHETIC_INTEGRATION_FRESH_CP_SAT
T10,Midday single peak,demand_shape,60,PASS,midday_peak,migrated synthetic equivalent,midday_peak,Yes,MIGRATED_SYNTHETIC_INTEGRATION_FRESH_CP_SAT
